scenario,comparison,pairs,effect_mean,ci95_lower,ci95_upper
stable_control,m9a6_minus_m9a7_loss,300,0.0034736625086483823,0.0030541899422500303,0.003927463276115859
stable_control,m9a7_minus_observer_regret,300,0.0008281249999999995,0.0005468749999999994,0.0011406249999999997
stable_control,m9a7_observer_regret_p95,300,0.0049218750000000625,,0.009375000000000022
failure_only,m9a6_minus_m9a7_loss,300,0.032568767594241,0.029083696423405966,0.03634623200168075
failure_only,m9a7_minus_observer_regret,300,0.0019843749999999996,0.0014062500000000004,0.002640624999999999
failure_only,m9a7_observer_regret_p95,300,0.009609375000000073,,0.014062499999999981
partition_only,m9a6_minus_m9a7_loss,300,0.0033551022829400967,0.0024125211910079134,0.0042964264244022875
partition_only,m9a7_minus_observer_regret,300,0.02359375,0.021077734374999997,0.026187890624999998
partition_only,m9a7_observer_regret_p95,300,0.06585937500000004,,0.08437499999999992
asymmetric_partition,m9a6_minus_m9a7_loss,300,0.0020480118189610225,0.000993187047553095,0.0030839023211380353
asymmetric_partition,m9a7_minus_observer_regret,300,0.034187499999999996,0.0310625,0.037390625
asymmetric_partition,m9a7_observer_regret_p95,300,0.08906249999999993,,0.09843749999999996
failure_partition,m9a6_minus_m9a7_loss,300,0.07236444298440993,0.04816202301167284,0.1071941988655669
failure_partition,m9a7_minus_observer_regret,300,0.021515624999999997,0.019030859374999997,0.024203124999999995
failure_partition,m9a7_observer_regret_p95,300,0.06093750000000003,,0.07523437500000006
staggered_rejoin,m9a6_minus_m9a7_loss,300,0.011934723246874857,0.010393164773477017,0.013547387198675044
staggered_rejoin,m9a7_minus_observer_regret,300,0.003625000000000001,0.002750000000000001,0.0045156250000000005
staggered_rejoin,m9a7_observer_regret_p95,300,0.01874999999999999,,0.02367187500000005
flapping_reconnect,m9a6_minus_m9a7_loss,300,0.0031483185403409623,0.002549915516913373,0.003753751231682089
flapping_reconnect,m9a7_minus_observer_regret,300,0.008828124999999997,0.007484374999999996,0.010249999999999997
flapping_reconnect,m9a7_observer_regret_p95,300,0.03749999999999992,,0.04218749999999999
false_split_dropout,m9a6_minus_m9a7_loss,300,0.0031322581390207244,0.00266903121744203,0.0036025373453206356
false_split_dropout,m9a7_minus_observer_regret,300,0.0021406249999999997,0.001500000000000001,0.002843749999999999
false_split_dropout,m9a7_observer_regret_p95,300,0.014062499999999978,,0.01874999999999999
admission_censoring_control,m9a6_minus_m9a7_loss,300,0.015978499338238437,0.014251369845412438,0.017779889715894597
admission_censoring_control,m9a7_minus_observer_regret,300,0.007812499999999998,0.006546874999999999,0.009156249999999998
admission_censoring_control,m9a7_observer_regret_p95,300,0.03281250000000002,,0.03749999999999998
unmodelled_count,m9a6_minus_m9a7_loss,300,-0.008012451070457501,-0.010568079697683534,-0.005538057716640476
unmodelled_offset,m9a6_minus_m9a7_loss,300,-0.00011350904259292786,-0.0009062899181149912,0.0006651795391554953
raw_channel_colluding_ramp,m9a6_minus_m9a7_loss,300,-2.399166797393554,-2.404992818481852,-2.3934448655983753
